"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"1135","L1 7","gap",17,"a","!","{Yes}",0,2362,"L1","Ambiguous",2362
"1153","L1 7","gap",13,"a","!","{Yes}",0,1579,"L1","Ambiguous",1579
"1161","L1 7","gap",20,"b","!","{No}",1,1639,"L1","Unambiguous",1639
"1168","L1 7","gap",14,"b","!","{Yes}",0,1477,"L1","Unambiguous",1477
"1194","L1 7","gap",22,"b","!","{No}",1,2243,"L1","Unambiguous",2243
"1198","L1 7","gap",24,"b","!","{No}",1,2552,"L1","Unambiguous",2552
"1210","L1 7","gap",23,"a","!","{Yes}",0,2854,"L1","Ambiguous",2854
"1227","L1 7","gap",15,"a","!","{No}",1,2865,"L1","Ambiguous",2865
"1235","L1 7","gap",18,"b","!","{No}",1,2089,"L1","Unambiguous",2089
"1256","L1 7","gap",19,"a","!","{No}",1,4296,"L1","Ambiguous",4296
"1288","L1 8","gap",22,"a","!","{Yes}",0,2289,"L1","Ambiguous",2289
"1326","L1 8","gap",14,"a","!","{Yes}",0,1449,"L1","Ambiguous",1449
"1330","L1 8","gap",13,"b","!","{Yes}",0,1958,"L1","Unambiguous",1958
"1339","L1 8","gap",15,"b","!","{No}",1,4640,"L1","Unambiguous",4640
"1360","L1 8","gap",17,"b","!","{No}",1,3170,"L1","Unambiguous",3170
"1367","L1 8","gap",19,"b","!","{Yes}",0,2547,"L1","Unambiguous",2547
"1374","L1 8","gap",21,"b","!","{Yes}",0,2742,"L1","Unambiguous",2742
"1386","L1 8","gap",23,"b","!","{Yes}",0,5719,"L1","Unambiguous",5719
"1395","L1 8","gap",20,"a","!","{No}",1,4066,"L1","Ambiguous",4066
"1399","L1 8","gap",16,"a","!","{Yes}",0,1675,"L1","Ambiguous",1675
"1406","L1 8","gap",24,"a","!","{No}",1,1534,"L1","Ambiguous",1534
"1427","L1 8","gap",18,"a","!","{Yes}",0,3483,"L1","Ambiguous",3483
"1464","L1 9","gap",20,"b","!","{Yes}",0,1601,"L1","Unambiguous",1601
"1486","L1 9","gap",16,"b","!","{No}",1,1481,"L1","Unambiguous",1481
"1495","L1 9","gap",15,"a","!","{Yes}",0,1144,"L1","Ambiguous",1144
"1503","L1 9","gap",19,"a","!","{Yes}",0,1189,"L1","Ambiguous",1189
"1513","L1 9","gap",13,"a","!","{Yes}",0,1045,"L1","Ambiguous",1045
"1536","L1 9","gap",14,"b","!","{No}",1,1488,"L1","Unambiguous",1488
"1544","L1 9","gap",17,"a","!","{Yes}",0,1214,"L1","Ambiguous",1214
"1555","L1 9","gap",22,"b","!","{No}",1,2462,"L1","Unambiguous",2462
"1558","L1 9","gap",24,"b","!","{No}",1,1380,"L1","Unambiguous",1380
"1565","L1 9","gap",23,"a","!","{No}",1,1118,"L1","Ambiguous",1118
"1582","L1 9","gap",21,"a","!","{No}",1,1237,"L1","Ambiguous",1237
"1594","L1 9","gap",18,"b","!","{No}",1,1721,"L1","Unambiguous",1721
"1676","L1 10","gap",18,"a","!","{Yes}",0,2703,"L1","Ambiguous",2703
"1686","L1 10","gap",13,"b","!","{Yes}",0,1717,"L1","Unambiguous",1717
"1689","L1 10","gap",21,"b","!","{Yes}",0,1199,"L1","Unambiguous",1199
"1744","L1 10","gap",15,"b","!","{Yes}",0,1448,"L1","Unambiguous",1448
"1752","L1 10","gap",20,"a","!","{No}",1,1275,"L1","Ambiguous",1275
"1756","L1 10","gap",17,"b","!","{Yes}",0,1298,"L1","Unambiguous",1298
"1759","L1 10","gap",24,"a","!","{Yes}",0,1482,"L1","Ambiguous",1482
"1767","L1 10","gap",22,"a","!","{Yes}",0,1491,"L1","Ambiguous",1491
"1777","L1 10","gap",19,"b","!","{Yes}",0,2244,"L1","Unambiguous",2244
"1785","L1 10","gap",23,"b","!","{Yes}",0,3138,"L1","Unambiguous",3138
"1789","L1 10","gap",14,"a","!","{Yes}",0,3362,"L1","Ambiguous",3362
"1792","L1 10","gap",16,"a","!","{No}",1,685,"L1","Ambiguous",685
"1819","L1 11","gap",19,"a","!","{Yes}",0,2521,"L1","Ambiguous",2521
"1842","L1 11","gap",18,"b","!","{No}",1,1905,"L1","Unambiguous",1905
"1845","L1 11","gap",24,"b","!","{No}",1,2829,"L1","Unambiguous",2829
"1864","L1 11","gap",22,"b","!","{No}",1,4160,"L1","Unambiguous",4160
"1871","L1 11","gap",23,"a","!","{No}",1,3855,"L1","Ambiguous",3855
"1896","L1 11","gap",16,"b","!","{No}",1,2655,"L1","Unambiguous",2655
"1911","L1 11","gap",20,"b","!","{No}",1,3492,"L1","Unambiguous",3492
"1919","L1 11","gap",21,"a","!","{Yes}",0,2565,"L1","Ambiguous",2565
"1922","L1 11","gap",15,"a","!","{Yes}",0,1594,"L1","Ambiguous",1594
"1934","L1 11","gap",13,"a","!","{Yes}",0,1005,"L1","Ambiguous",1005
"1953","L1 11","gap",17,"a","!","{No}",1,2521,"L1","Ambiguous",2521
"1970","L1 11","gap",14,"b","!","{Yes}",0,2973,"L1","Unambiguous",2973
"2001","L1 12","gap",17,"b","!","{Yes}",0,2260,"L1","Unambiguous",2260
"2020","L1 12","gap",15,"b","!","{Yes}",0,1517,"L1","Unambiguous",1517
"2042","L1 12","gap",23,"b","!","{No}",1,1902,"L1","Unambiguous",1902
"2046","L1 12","gap",20,"a","!","{Yes}",0,2629,"L1","Ambiguous",2629
"2053","L1 12","gap",13,"b","!","{Yes}",0,2726,"L1","Unambiguous",2726
"2057","L1 12","gap",24,"a","!","{Yes}",0,3696,"L1","Ambiguous",3696
"2076","L1 12","gap",14,"a","!","{Yes}",0,2182,"L1","Ambiguous",2182
"2091","L1 12","gap",21,"b","!","{Yes}",0,1799,"L1","Unambiguous",1799
"2105","L1 12","gap",18,"a","!","{Yes}",0,1430,"L1","Ambiguous",1430
"2125","L1 12","gap",16,"a","!","{No}",1,3225,"L1","Ambiguous",3225
"2128","L1 12","gap",22,"a","!","{Yes}",0,1521,"L1","Ambiguous",1521
"2150","L1 12","gap",19,"b","!","{Yes}",0,2162,"L1","Unambiguous",2162
"2183","L1 13","gap",18,"b","!","{Yes}",0,2054,"L1","Unambiguous",2054
"2187","L1 13","gap",16,"b","!","{No}",1,2257,"L1","Unambiguous",2257
"2195","L1 13","gap",22,"b","!","{Yes}",0,2414,"L1","Unambiguous",2414
"2237","L1 13","gap",23,"a","!","{Yes}",0,1844,"L1","Ambiguous",1844
"2244","L1 13","gap",19,"a","!","{Yes}",0,1627,"L1","Ambiguous",1627
"2249","L1 13","gap",20,"b","!","{No}",1,2005,"L1","Unambiguous",2005
"2256","L1 13","gap",13,"a","!","{Yes}",0,2845,"L1","Ambiguous",2845
"2290","L1 13","gap",17,"a","!","{Yes}",0,2159,"L1","Ambiguous",2159
"2301","L1 13","gap",15,"a","!","{Yes}",0,2863,"L1","Ambiguous",2863
"2311","L1 13","gap",21,"a","!","{Yes}",0,1805,"L1","Ambiguous",1805
"2320","L1 13","gap",24,"b","!","{No}",1,3081,"L1","Unambiguous",3081
"2328","L1 13","gap",14,"b","!","{No}",1,1539,"L1","Unambiguous",1539
"2388","L1 14","gap",18,"a","!","{No}",1,1517,"L1","Ambiguous",1517
