"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"286","L1 2","gp",12,"a","!","{The_nurse_washed_the_baby}",0,2174,"L1","Ambiguous",2174
"289","L1 2","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2652,"L1","Ambiguous",2652
"307","L1 2","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3468,"L1","Unambiguous",3468
"314","L1 2","gp",5,"b","!","{The_father_washed_himself}",1,1921,"L1","Unambiguous",1921
"342","L1 2","gp",21,"b","!","{Anna_dressed_herself}",1,1236,"L1","Unambiguous",1236
"352","L1 2","gp",13,"b","!","{The_girl_calmed_herself_down}",1,1454,"L1","Unambiguous",1454
"379","L1 3","gp",4,"b","!","{The_two_children_hugged_each_other}",1,4729,"L1","Unambiguous",4729
"382","L1 3","gp",20,"b","!","{The_two_friends_met_each_other}",1,3223,"L1","Unambiguous",3223
"394","L1 3","gp",12,"b","!","{The_nurse_washed_herself}",1,3367,"L1","Unambiguous",3367
"430","L1 3","gp",24,"b","!","{The_two_actresses_met_each_other}",1,2743,"L1","Unambiguous",2743
"436","L1 3","gp",15,"a","!","{The_aunt_dressed_herself}",1,2633,"L1","Ambiguous",2633
"448","L1 3","gp",23,"a","!","{The_mother_washed_herself}",1,1790,"L1","Ambiguous",1790
"478","L1 3","gp",7,"a","!","{The_man_woke_himself_up}",1,3518,"L1","Ambiguous",3518
"482","L1 3","gp",16,"b","!","{The_researcher_woke_himself_up}",1,2973,"L1","Unambiguous",2973
"499","L1 3","gp",11,"a","!","{The_lady_woke_herself_up}",1,2909,"L1","Ambiguous",2909
"508","L1 3","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3495,"L1","Ambiguous",3495
"525","L1 3","gp",3,"a","!","{The_two_journalists_met_each_other}",1,2618,"L1","Ambiguous",2618
"535","L1 3","gp",8,"b","!","{Mary_dressed_herself}",1,3633,"L1","Unambiguous",3633
"559","L1 4","gp",11,"b","!","{The_lady_woke_herself_up}",1,2515,"L1","Unambiguous",2515
"585","L1 4","gp",6,"a","!","{The_two_kids_fought_each_other}",1,2739,"L1","Ambiguous",2739
"603","L1 4","gp",2,"a","!","{The_mother_dressed_the_baby}",0,1869,"L1","Ambiguous",1869
"607","L1 4","gp",15,"b","!","{The_aunt_dressed_herself}",1,1286,"L1","Unambiguous",1286
"628","L1 4","gp",14,"a","!","{The_doctor_woke_himself_up}",1,1580,"L1","Ambiguous",1580
"632","L1 4","gp",23,"b","!","{The_mother_washed_the_child}",0,3461,"L1","Unambiguous",3461
"645","L1 4","gp",22,"a","!","{The_two_footballers_fought_each_other}",1,2300,"L1","Ambiguous",2300
"652","L1 4","gp",7,"b","!","{The_man_woke_himself_up}",1,1120,"L1","Unambiguous",1120
"670","L1 4","gp",3,"b","!","{The_two_journalists_met_each_other}",1,2919,"L1","Unambiguous",2919
"688","L1 4","gp",10,"a","!","{The_two_soldiers_fought_each_other}",1,2556,"L1","Ambiguous",2556
"694","L1 4","gp",18,"a","!","{The_father_washed_the_baby}",0,1469,"L1","Ambiguous",1469
"708","L1 4","gp",19,"b","!","{The_coach_calmed_himself_down}",1,2314,"L1","Unambiguous",2314
"765","L1 5","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,2875,"L1","Ambiguous",2875
"771","L1 5","gp",2,"b","!","{The_mother_dressed_the_baby}",0,3629,"L1","Unambiguous",3629
"781","L1 5","gp",18,"b","!","{The_father_washed_the_baby}",0,3630,"L1","Unambiguous",3630
"798","L1 5","gp",21,"a","!","{Anna_dressed_the_child}",0,1624,"L1","Ambiguous",1624
"808","L1 5","gp",13,"a","!","{The_girl_calmed_the_boy_down}",0,3354,"L1","Ambiguous",3354
"827","L1 5","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3330,"L1","Unambiguous",3330
"842","L1 5","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3234,"L1","Unambiguous",3234
"845","L1 5","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2809,"L1","Unambiguous",2809
"864","L1 5","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,2597,"L1","Unambiguous",2597
"873","L1 5","gp",17,"a","!","{The_two_men_fought_each_other}",1,2285,"L1","Ambiguous",2285
"877","L1 5","gp",5,"a","!","{The_father_washed_the_boy}",0,1943,"L1","Ambiguous",1943
"885","L1 5","gp",9,"a","!","{The_pianist_calmed_the_singer_down}",0,3653,"L1","Ambiguous",3653
"915","L1 6","gp",5,"b","!","{The_father_washed_himself}",1,4095,"L1","Unambiguous",4095
"948","L1 6","gp",17,"b","!","{The_two_men_fought_each_other}",1,3729,"L1","Unambiguous",3729
"963","L1 6","gp",20,"a","!","{The_two_friends_met_the_man}",0,3125,"L1","Ambiguous",3125
"973","L1 6","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3398,"L1","Unambiguous",3398
"992","L1 6","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2534,"L1","Ambiguous",2534
"998","L1 6","gp",12,"a","!","{The_nurse_washed_the_baby}",0,3563,"L1","Ambiguous",3563
"1001","L1 6","gp",13,"b","!","{The_girl_calmed_herself_down}",1,2873,"L1","Unambiguous",2873
"1015","L1 6","gp",8,"a","!","{Mary_dressed_the_boy}",0,2478,"L1","Ambiguous",2478
"1019","L1 6","gp",16,"a","!","{The_researcher_woke_the_assistant_up}",0,2823,"L1","Ambiguous",2823
"1029","L1 6","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,3084,"L1","Ambiguous",3084
"1050","L1 6","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2582,"L1","Unambiguous",2582
"1079","L1 6","gp",21,"b","!","{Anna_dressed_herself}",1,2601,"L1","Unambiguous",2601
"1096","L1 7","gp",3,"a","!","{The_two_journalists_met_the_president}",0,2964,"L1","Ambiguous",2964
"1105","L1 7","gp",4,"b","!","{The_two_children_hugged_each_other}",1,2833,"L1","Unambiguous",2833
"1138","L1 7","gp",7,"a","!","{The_man_woke_himself_up}",1,4372,"L1","Ambiguous",4372
"1149","L1 7","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3700,"L1","Ambiguous",3700
"1157","L1 7","gp",11,"a","!","{The_lady_woke_herself_up}",1,2960,"L1","Ambiguous",2960
"1172","L1 7","gp",15,"a","!","{The_aunt_dressed_the_boy}",0,2322,"L1","Ambiguous",2322
"1179","L1 7","gp",12,"b","!","{The_nurse_washed_herself}",1,4266,"L1","Unambiguous",4266
"1186","L1 7","gp",23,"a","!","{The_mother_washed_the_child}",0,2185,"L1","Ambiguous",2185
"1214","L1 7","gp",16,"b","!","{The_researcher_woke_himself_up}",1,1738,"L1","Unambiguous",1738
"1224","L1 7","gp",8,"b","!","{Mary_dressed_herself}",1,2836,"L1","Unambiguous",2836
"1245","L1 7","gp",24,"b","!","{The_two_actresses_met_each_other}",1,5812,"L1","Unambiguous",5812
"1248","L1 7","gp",20,"b","!","{The_two_friends_met_each_other}",1,2375,"L1","Unambiguous",2375
"1280","L1 8","gp",23,"b","!","{The_mother_washed_herself}",1,3574,"L1","Unambiguous",3574
"1291","L1 8","gp",7,"b","!","{The_man_woke_himself_up}",1,4532,"L1","Unambiguous",4532
"1315","L1 8","gp",2,"a","!","{The_mother_dressed_the_baby}",0,2367,"L1","Ambiguous",2367
"1319","L1 8","gp",15,"b","!","{The_aunt_dressed_the_boy}",0,1798,"L1","Unambiguous",1798
"1343","L1 8","gp",11,"b","!","{The_lady_woke_herself_up}",1,5442,"L1","Unambiguous",5442
"1350","L1 8","gp",19,"b","!","{The_coach_calmed_the_basketball_player_down}",0,3762,"L1","Unambiguous",3762
"1357","L1 8","gp",3,"b","!","{The_two_journalists_met_each_other}",1,9266,"L1","Unambiguous",9266
"1364","L1 8","gp",10,"a","!","{The_two_soldiers_fought_the_General}",0,3592,"L1","Ambiguous",3592
"1389","L1 8","gp",18,"a","!","{The_father_washed_the_baby}",0,3121,"L1","Ambiguous",3121
"1402","L1 8","gp",22,"a","!","{The_two_footballers_fought_the_coach}",0,2801,"L1","Ambiguous",2801
"1410","L1 8","gp",14,"a","!","{The_doctor_woke_himself_up}",1,3341,"L1","Ambiguous",3341
"1435","L1 8","gp",6,"a","!","{The_two_kids_fought_each_other}",1,4823,"L1","Ambiguous",4823
"1456","L1 9","gp",6,"b","!","{The_two_kids_fought_each_other}",1,2559,"L1","Unambiguous",2559
"1460","L1 9","gp",21,"a","!","{Anna_dressed_herself}",1,1804,"L1","Ambiguous",1804
"1470","L1 9","gp",9,"a","!","{The_pianist_calmed_the_singer_down}",0,2545,"L1","Ambiguous",2545
"1516","L1 9","gp",17,"a","!","{The_two_men_fought_the_terrorist}",0,2006,"L1","Ambiguous",2006
"1532","L1 9","gp",10,"b","!","{The_two_soldiers_fought_the_General}",0,2253,"L1","Unambiguous",2253
"1540","L1 9","gp",2,"b","!","{The_mother_dressed_the_baby}",0,1618,"L1","Unambiguous",1618
