"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"1216","L1 7","gap",8,"b","0","-","-",3325,"L1","Unambiguous",3325
"1241","L1 7","gap",4,"b","0","-","-",5840,"L1","Unambiguous",5840
"1251","L1 7","gap",12,"b","0","-","-",4572,"L1","Unambiguous",4572
"1258","L1 7","gap",2,"b","0","-","-",4586,"L1","Unambiguous",4586
"1275","L1 8","gap",5,"b","0","-","-",6786,"L1","Unambiguous",6786
"1282","L1 8","gap",8,"a","0","-","-",4508,"L1","Ambiguous",4508
"1296","L1 8","gap",9,"b","0","-","-",11215,"L1","Unambiguous",11215
"1303","L1 8","gap",7,"b","0","-","-",4855,"L1","Unambiguous",4855
"1311","L1 8","gap",12,"a","0","-","-",11463,"L1","Ambiguous",11463
"1322","L1 8","gap",11,"b","0","-","-",7411,"L1","Unambiguous",7411
"1335","L1 8","gap",4,"a","0","-","-",8906,"L1","Ambiguous",8906
"1345","L1 8","gap",6,"a","0","-","-",4277,"L1","Ambiguous",4277
"1377","L1 8","gap",10,"a","0","-","-",7713,"L1","Ambiguous",7713
"1415","L1 8","gap",2,"a","0","-","-",5994,"L1","Ambiguous",5994
"1419","L1 8","gap",1,"b","0","-","-",10291,"L1","Unambiguous",10291
"1430","L1 8","gap",3,"b","0","-","-",8329,"L1","Unambiguous",8329
"1472","L1 9","gap",4,"b","0","-","-",3996,"L1","Unambiguous",3996
"1478","L1 9","gap",3,"a","0","-","-",3095,"L1","Ambiguous",3095
"1491","L1 9","gap",2,"b","0","-","-",2688,"L1","Unambiguous",2688
"1505","L1 9","gap",10,"b","0","-","-",4793,"L1","Unambiguous",4793
"1522","L1 9","gap",5,"a","0","-","-",2780,"L1","Ambiguous",2780
"1525","L1 9","gap",1,"a","0","-","-",2800,"L1","Ambiguous",2800
"1546","L1 9","gap",8,"b","0","-","-",5175,"L1","Unambiguous",5175
"1574","L1 9","gap",11,"a","0","-","-",3556,"L1","Ambiguous",3556
"1577","L1 9","gap",9,"a","0","-","-",2659,"L1","Ambiguous",2659
"1585","L1 9","gap",6,"b","0","-","-",2749,"L1","Unambiguous",2749
"1600","L1 9","gap",12,"b","0","-","-",2994,"L1","Unambiguous",2994
"1618","L1 9","gap",7,"a","0","-","-",2796,"L1","Ambiguous",2796
"1640","L1 10","gap",12,"a","0","-","-",3146,"L1","Ambiguous",3146
"1651","L1 10","gap",8,"a","0","-","-",4638,"L1","Ambiguous",4638
"1658","L1 10","gap",5,"b","0","-","-",4881,"L1","Unambiguous",4881
"1666","L1 10","gap",11,"b","0","-","-",2849,"L1","Unambiguous",2849
"1672","L1 10","gap",9,"b","0","-","-",4120,"L1","Unambiguous",4120
"1678","L1 10","gap",3,"b","0","-","-",3732,"L1","Unambiguous",3732
"1691","L1 10","gap",2,"a","0","-","-",3057,"L1","Ambiguous",3057
"1701","L1 10","gap",6,"a","0","-","-",12475,"L1","Ambiguous",NA
"1713","L1 10","gap",4,"a","0","-","-",3521,"L1","Ambiguous",3521
"1721","L1 10","gap",1,"b","0","-","-",4081,"L1","Unambiguous",4081
"1737","L1 10","gap",10,"a","0","-","-",4451,"L1","Ambiguous",4451
"1773","L1 10","gap",7,"b","0","-","-",2795,"L1","Unambiguous",2795
"1824","L1 11","gap",8,"b","0","-","-",3278,"L1","Unambiguous",3278
"1830","L1 11","gap",12,"b","0","-","-",4259,"L1","Unambiguous",4259
"1833","L1 11","gap",1,"a","0","-","-",3585,"L1","Ambiguous",3585
"1852","L1 11","gap",3,"a","0","-","-",3997,"L1","Ambiguous",3997
"1888","L1 11","gap",2,"b","0","-","-",4325,"L1","Unambiguous",4325
"1907","L1 11","gap",11,"a","0","-","-",3083,"L1","Ambiguous",3083
"1929","L1 11","gap",4,"b","0","-","-",3482,"L1","Unambiguous",3482
"1939","L1 11","gap",10,"b","0","-","-",3535,"L1","Unambiguous",3535
"1942","L1 11","gap",5,"a","0","-","-",3623,"L1","Ambiguous",3623
"1959","L1 11","gap",7,"a","0","-","-",4996,"L1","Ambiguous",4996
"1963","L1 11","gap",6,"b","0","-","-",3126,"L1","Unambiguous",3126
"1973","L1 11","gap",9,"a","0","-","-",2992,"L1","Ambiguous",2992
"2007","L1 12","gap",6,"a","0","-","-",9679,"L1","Ambiguous",9679
"2013","L1 12","gap",3,"b","0","-","-",2711,"L1","Unambiguous",2711
"2022","L1 12","gap",7,"b","0","-","-",4888,"L1","Unambiguous",4888
"2029","L1 12","gap",2,"a","0","-","-",4177,"L1","Ambiguous",4177
"2049","L1 12","gap",12,"a","0","-","-",5432,"L1","Ambiguous",5432
"2064","L1 12","gap",5,"b","0","-","-",7603,"L1","Unambiguous",7603
"2083","L1 12","gap",10,"a","0","-","-",3605,"L1","Ambiguous",3605
"2097","L1 12","gap",11,"b","0","-","-",5251,"L1","Unambiguous",5251
"2101","L1 12","gap",1,"b","0","-","-",3615,"L1","Unambiguous",3615
"2107","L1 12","gap",9,"b","0","-","-",1678,"L1","Unambiguous",1678
"2141","L1 12","gap",8,"a","0","-","-",2864,"L1","Ambiguous",2864
"2155","L1 12","gap",4,"a","0","-","-",3194,"L1","Ambiguous",3194
"2201","L1 13","gap",12,"b","0","-","-",4401,"L1","Unambiguous",4401
"2208","L1 13","gap",8,"b","0","-","-",4560,"L1","Unambiguous",4560
"2215","L1 13","gap",10,"b","0","-","-",5890,"L1","Unambiguous",5890
"2222","L1 13","gap",6,"b","0","-","-",4084,"L1","Unambiguous",4084
"2226","L1 13","gap",11,"a","0","-","-",4951,"L1","Ambiguous",4951
"2278","L1 13","gap",5,"a","0","-","-",4807,"L1","Ambiguous",4807
"2285","L1 13","gap",1,"a","0","-","-",4425,"L1","Ambiguous",4425
"2316","L1 13","gap",2,"b","0","-","-",4426,"L1","Unambiguous",4426
"2323","L1 13","gap",4,"b","0","-","-",5577,"L1","Unambiguous",5577
"2330","L1 13","gap",3,"a","0","-","-",4186,"L1","Ambiguous",4186
"2334","L1 13","gap",9,"a","0","-","-",5761,"L1","Ambiguous",5761
"2338","L1 13","gap",7,"a","0","-","-",4727,"L1","Ambiguous",4727
"2358","L1 14","gap",6,"a","0","-","-",6553,"L1","Ambiguous",6553
"2365","L1 14","gap",8,"a","0","-","-",4497,"L1","Ambiguous",4497
"2369","L1 14","gap",9,"b","0","-","-",4862,"L1","Unambiguous",4862
"2376","L1 14","gap",7,"b","0","-","-",4819,"L1","Unambiguous",4819
"2393","L1 14","gap",1,"b","0","-","-",5340,"L1","Unambiguous",5340
"2403","L1 14","gap",11,"b","0","-","-",3707,"L1","Unambiguous",3707
"2411","L1 14","gap",2,"a","0","-","-",6832,"L1","Ambiguous",6832
"2428","L1 14","gap",5,"b","0","-","-",4654,"L1","Unambiguous",4654
"2452","L1 14","gap",12,"a","0","-","-",4551,"L1","Ambiguous",4551
"2466","L1 14","gap",10,"a","0","-","-",5695,"L1","Ambiguous",5695
"2484","L1 14","gap",4,"a","0","-","-",4540,"L1","Ambiguous",4540
