"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"22","L1 1","gp",3,"c","0","-","-",4156,"L1","Ambiguous",4156
"28","L1 1","gp",4,"d","0","-","-",3489,"L1","Unambiguous",3489
"32","L1 1","gp",7,"c","0","-","-",5264,"L1","Ambiguous",5264
"88","L1 1","gp",20,"d","0","-","-",6440,"L1","Unambiguous",6440
"91","L1 1","gp",19,"c","0","-","-",3546,"L1","Ambiguous",3546
"111","L1 1","gp",12,"d","0","-","-",4900,"L1","Unambiguous",4900
"132","L1 1","gp",11,"c","0","-","-",3770,"L1","Ambiguous",3770
"139","L1 1","gp",24,"d","0","-","-",5284,"L1","Unambiguous",5284
"143","L1 1","gp",16,"d","0","-","-",7749,"L1","Unambiguous",7749
"158","L1 1","gp",15,"c","0","-","-",9105,"L1","Ambiguous",9105
"170","L1 1","gp",23,"c","0","-","-",4358,"L1","Ambiguous",4358
"174","L1 1","gp",8,"d","0","-","-",3081,"L1","Unambiguous",3081
"216","L1 2","gp",15,"d","0","-","-",3568,"L1","Unambiguous",3568
"222","L1 2","gp",2,"c","0","-","-",4187,"L1","Ambiguous",4187
"229","L1 2","gp",10,"c","0","-","-",5184,"L1","Ambiguous",5184
"240","L1 2","gp",6,"c","0","-","-",9151,"L1","Ambiguous",9151
"246","L1 2","gp",19,"d","0","-","-",7389,"L1","Unambiguous",7389
"264","L1 2","gp",14,"c","0","-","-",15480,"L1","Ambiguous",15480
"292","L1 2","gp",3,"d","0","-","-",4289,"L1","Unambiguous",4289
"296","L1 2","gp",23,"d","0","-","-",4385,"L1","Unambiguous",4385
"323","L1 2","gp",11,"d","0","-","-",2194,"L1","Unambiguous",2194
"344","L1 2","gp",18,"c","0","-","-",4779,"L1","Ambiguous",4779
"347","L1 2","gp",22,"c","0","-","-",6143,"L1","Ambiguous",6143
"358","L1 2","gp",7,"d","0","-","-",5453,"L1","Unambiguous",5453
"400","L1 3","gp",18,"d","0","-","-",5686,"L1","Unambiguous",5686
"404","L1 3","gp",22,"d","0","-","-",9656,"L1","Unambiguous",9656
"408","L1 3","gp",9,"c","0","-","-",12911,"L1","Ambiguous",12911
"411","L1 3","gp",6,"d","0","-","-",5195,"L1","Unambiguous",5195
"426","L1 3","gp",13,"c","0","-","-",19741,"L1","Ambiguous",19741
"455","L1 3","gp",1,"c","0","-","-",11076,"L1","Ambiguous",11076
"470","L1 3","gp",14,"d","0","-","-",7494,"L1","Unambiguous",7494
"501","L1 3","gp",21,"c","0","-","-",6568,"L1","Ambiguous",6568
"518","L1 3","gp",5,"c","0","-","-",8437,"L1","Ambiguous",8437
"528","L1 3","gp",10,"d","0","-","-",14435,"L1","Unambiguous",14435
"531","L1 3","gp",17,"c","0","-","-",12319,"L1","Ambiguous",12319
"537","L1 3","gp",2,"d","0","-","-",3891,"L1","Unambiguous",3891
"561","L1 4","gp",12,"c","0","-","-",3115,"L1","Ambiguous",3115
"570","L1 4","gp",21,"d","0","-","-",3842,"L1","Unambiguous",3842
